CODE,NAME,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION
1117060,SYIAH UTAMA,2372,2144,4516
1117070,PERMATA,7474,7203,14677
1118,PIDIE JAYA,64958,67900,132858
1118010,MEUREUDU,8909,9516,18425
1118020,MEURAH DUA,4896,5172,10068
1118030,BANDAR DUA,11700,11932,23632
1118040,JANGKA BUYA,4324,4381,8705
1118050,ULIM,6639,6638,13277
1118060,TRIENGGADENG,9543,10342,19885
1118070,PANTERAJA,3656,3858,7514
1118080,BANDAR BARU,15291,16061,31352
1171,KOTA BANDA ACEH,115296,108913,224209
1171010,MEURAXA,8826,7494,16320
1171011,JAYA BARU,11359,11124,22483
1171012,BANDA RAYA,10535,10331,20866
1171020,BAITURRAHMAN,15715,14774,30489
1171021,LUENG BATA,12056,11559,23615
1171030,KUTA ALAM,22058,20076,42134
1171031,KUTA RAJA,5526,4898,10424
1171040,SYIAH KUALA,17682,17636,35318
1171041,ULEE KARENG,11539,11021,22560
1172,KOTA SABANG,15580,15067,30647
1172010,SUKAJAYA,7927,7605,15532
1172020,SUKAKARYA,7653,7462,15115
1173,KOTA LANGSA,73930,74974,148904
1173010,LANGSA TIMUR,6896,6945,13841
1173011,LANGSA LAMA,13124,13712,26836
1173020,LANGSA BARAT,15362,15200,30562
1173021,LANGSA BARO,20828,20974,41802
1173030,LANGSA KOTA,17720,18143,35863
1174,KOTA LHOKSEUMAWE,84893,85611,170504
1174010,BLANG MANGAT,10767,10861,21628
1174020,MUARA DUA,21935,22534,44469
1174021,MUARA SATU ,15527,15687,31214
1174030,BANDA SAKTI,36664,36529,73193
1175,KOTA SUBULUSSALAM,33956,33360,67316
1175010,SIMPANG KIRI,13883,13768,27651
1175020,PENANGGALAN,5857,5618,11475
1175030,RUNDENG,5543,5465,11008
1175040,SULTAN DAULAT,6446,6389,12835
1175050,LONGKIB,2227,2120,4347
1200,SUMATERA UTARA,6479051,6506024,12985075
1201,NIAS,64498,67831,132329
1201060,IDANO GAWO,12670,12928,25598
1201061,BAWOLATO,11448,12025,23473
1201062,ULUGAWO,4796,4944,9740
1201070,GIDO,15919,16023,31942
1201081,MA U,4368,5219,9587
1201082,SOMOLO - MOLO,2958,3222,6180
1201130,HILIDUHO,4430,4693,9123
1201131,HILI SERANGKAI,3549,4051,7600
1201132,BOTOMUZOI,4360,4726,9086
1202,MANDAILING NATAL,198623,205271,403894
1202010,BATAHAN,8905,8623,17528
1202011,SINUNUKAN,7847,7429,15276
1202020,BATANG NATAL,11260,11120,22380
1202021,LINGGA BAYU,11373,11092,22465
1202022,RANTO BAEK,5633,5517,11150
1202030,KOTANOPAN,12636,13568,26204
1202031,ULU PUNGKUT,2097,2146,4243
1202032,TAMBANGAN,5276,6181,11457
1202033,LEMBAH SORIK MARAPI,7761,7765,15526
1202034,PUNCAK SORIK MARAPI,3843,4112,7955
1202040,MUARA SIPONGI ,4835,4834,9669
1202041,PAKANTAN,1082,1063,2145
1202050,PANYABUNGAN,37559,39858,77417
1202051,PANYABUNGAN SELATAN,4486,4900,9386
1202052,PANYABUNGAN BARAT,4181,4704,8885
1202053,PANYABUNGAN UTARA,9705,10258,19963
1202054,PANYABUNGAN TIMUR,5960,6334,12294
1202055,HUTA BARGOT,2719,2967,5686
1202060,NATAL,13802,13505,27307
1202070,MUARA BATANG GADIS,7649,7498,15147
1202080,SIABU,22847,24426,47273
1202081,BUKIT MALINTANG,5348,5540,10888
1202082,NAGA JUANG,1819,1831,3650
1203,TAPANULI SELATAN,131435,132673,264108
1203010,BATANG ANGKOLA,15634,16498,32132
1203011,SAYUR MATINGGI,18232,19425,37657
1203070,ANGKOLA TIMUR,9269,9233,18502
1203080,ANGKOLA SELATAN,14300,13452,27752
1203090,ANGKOLA BARAT,20482,20801,41283
1203100,BATANG TORU,14385,14347,28732
1203101,MARANCAR,4676,4637,9313
1203102,MUARA BATANG TORU,5892,5513,11405
1203110,SIPIROK,15014,15392,30406
1203120,ARSE,3886,3982,7868
1203160,SAIPAR DOLOK HOLE,6349,6310,12659
1203161,AEK BILAH,3316,3083,6399
1204,TAPANULI TENGAH,156175,154787,310962
1204010,PINANG SORI,11262,11391,22653
1204011,BADIRI,11184,10796,21980
1204020,SIBABANGUN,8123,8358,16481
1204021,LUMUT,5582,5666,11248
1204022,SUKABANGUN,1462,1409,2871
1204030,PANDAN,24031,22920,46951
1204031,TUKKA,5675,5721,11396
1204032,SARUDIK,10687,10116,20803
1204040,TAPIAN NAULI,9288,9169,18457
1204041,SITAHUIS,2522,2519,5041
1204050,KOLANG,8576,8406,16982
