0,1,2,3,4,n_cells_with_newline
1808031,"BANJAR MARGO
",19 102,17 492,36 594,1
1808042,"MERAKSA AJI
 ",6 711,6 198,12 909,1
1811040,TANJUNG RAYA,17 638,"16 145
",33 783,1
1812020,TUMIJAJAR,"20 549
 ",19 857,40 406,1
1812040,"PAGAR DEWA
",2 632,2 526,5 158,1
1812080,"WAY KENANGA
 ",9 510,8 836,18 346,1
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
1902,BELITUNG,80 647,"75 277
",155 924,1
1903,BANGKA BARAT,"91 201
 ",83 909,175 110,1
1903020,"TEMPILANG
",12 520,11 867,24 387,1
1903050,"JEBUS
 ",25 373,22 829,48 202,1
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
2101033,TEBING,13 106,"12 767
",25 873,1
2102060,BINTAN TIMUR,"20 371
 ",18 809,39 180,1
2102062,"MANTANG
",2 124,1 770,3 894,1
2103,"NATUNA
 ",35 870,33 449,69 319,1
2171041,SAGULUNG,80 917,"68 025
",148 942,1
2171081,BENGKONG,"45 834
 ",45 045,90 879,1
2172,"KOTA TANJUNGPINANG
",95 765,91 922,187 687,1
3171060,KEBAYORAN BARU,70 896,"70 926
",141 822,1
3172010,PASAR REBO,"95 640
 ",92 131,187 771,1
3172030,"CIPAYUNG
",116 569,112 090,228 659,1
3172060,"JATINEGARA
 ",137 046,127 855,264 901,1
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
,,,,,0
3201070,CIOMAS,76 027,"72 526
",148 553,1
3201120,MEGAMENDUNG,"50 477
 ",46 058,96 535,1
3201140,"BABAKAN MADANG
",53 343,49 865,103 208,1
3201161,"TANJUNGSARI
 ",25 474,24 513,49 987,1
3202100,LENGKONG,14 908,"14 275
",29 183,1
3202131,PURABAYA,"20 107
 ",19 419,39 526,1
3202150,"NYALINDUNG
",23 732,22 468,46 200,1
3202172,"CIREUNGHAS
 ",16 027,15 342,31 369,1
3203100,PAGELARAN,35 303,"32 536
",67 839,1
3203140,CILAKU,"49 803
 ",46 453,96 256,1
3203161,"HAURWANGI
",27 753,25 736,53 489,1
3203190,"KARANGTENGAH
 ",69 680,64 607,134 287,1
3204280,BOJONGSOANG,52 051,"49 560
",101 611,1
3205011,CARINGIN,"15 036
 ",14 438,29 474,1
3205030,"BUNGBULANG
",29 985,29 544,59 529,1
3205050,"PAKENJENG
 ",33 257,32 442,65 699,1
3205310,MALANGBONG,60 602,"58 004
",118 606,1
3206050,CIKATOMAS,"23 860
 ",23 793,47 653,1
3206061,"PARUNGPONTENG
",16 606,16 898,33 504,1
3206072,"CULAMEGA
 ",11 326,11 536,22 862,1
3207040,LANGKAPLANCAR,23 480,"23 272
",46 752,1
3207100,BANJARSARI,"51 104
 ",51 978,103 082,1
3207111,"PURWADADI
",23 910,17 738,41 648,1
3207140,"CIMARAGAS
 ",7 461,7 993,15 454,1
3208081,CIMAHI,17 801,"17 734
",35 535,1
3208111,MALEBER,"20 526
 ",20 104,40 630,1
3208121,"SINDANG AGUNG
",17 294,16 786,34 080,1
3208160,"JALAKSANA
 ",22 782,22 475,45 257,1
3209161,TENGAH TANI,20 351,"19 904
",40 255,1
3209191,JAMBLANG,"17 813
 ",17 397,35 210,1
3209201,"PANGURAGAN
",21 639,21 036,42 675,1
3209230,"GEGESIK
 ",36 028,33 400,69 428,1
3211031,SUKASARI,15 727,"15 326
",31 053,1
3211071,CISITU,"12 965
 ",13 142,26 107,1
